Civil Lines,Gandhi Nagar,Chanakyapuri,Alipur,Karawal Nagar,Kanjhawala,Seemapuri,Hauz Khas,Defence Colony,Dwarka,Patel Nagar,Karol Bagh,Mayur Vihar,Delhi Cantonment,Model Town,Seelampur,Rohini,Shahdara,Mehrauli,Kalkaji,Kapashera,Punjabi Bagh,Kotwali,Preet Vihar,Vasant Vihar,Narela,Yamuna Vihar,Saraswati Vihar,Vivek Vihar,Saket,Sarita Vihar,Najafgarh,Rajouri Garden
15601,22617,13715,6430,9334,6871,7467,14303,13160,16849,21002,26907,34519,17049,31499,18347,42489,15477,19995,27286,10372,36142,17455,37347,30249,34175,18340,13258,26461,33854,18925,45297,57926
11547,16740,10151,4759,6908,5085,5527,10586,9740,12470,15544,19914,25548,12618,23313,13579,31447,11455,14799,20195,7677,26750,12919,27641,22388,25294,13574,9812,19584,25056,14007,33526,42872
10623,15400,9339,4378,6356,4678,5084,9739,8961,11473,14300,18321,23505,11609,21448,12493,28931,10538,13615,18579,7063,24610,11885,25430,20597,23271,12488,9027,18017,23052,12886,30843,39443
7236,10490,6361,2982,4329,3186,3463,6634,6104,7815,9741,12480,16010,7907,14609,8510,19707,7178,9274,12655,4811,16763,8096,17322,14029,15851,8506,6149,12273,15702,8777,21009,26867
